CUSTOMER_ID,INDUSTRY,EMP,ANNUAL_SALES,STATE,MOBILITY,INTERNET
129078,Finance and Insurance,36.0,,TX,10192.825459243957,699.5398685297313
128424,Construction,261.0,10675108.0,NY,17367.492872817194,1907.8194104324798
125960,Finance and Insurance,10.0,756786.0,TX,6162.609228515733,1789.0179189019766
120981,Construction,31.0,1223808.0,NY,19176.373541139485,2123.016417605316
129251,Education,,1148650.0,TX,1538.1941163490314,1620.0965427955991
128936,Construction,288.0,9197420.44,TX,10177.116937860144,8509.512883575635
120612,Construction,287.0,12744917.0,NY,18418.01587661791,16184.978194605119
123390,Food Services,14.0,494593.2,TX,473.06699875778486,2366.373927461017
122024,Education,248.0,,TX,4468.821223396959,9592.091142379251
120487,Agriculture,47.0,1854011.0,TX,1675.872926980669,9333.580904071388
124922,Finance and Insurance,33.0,3098014.5,TX,6951.027856181981,4140.604964527056
126049,Construction,72.0,3590242.0,NY,8010.2605163234375,0.0
128641,Food Services,10.0,271053.6,TX,674.0841124590247,8859.252412894211
125998,Finance and Insurance,25.0,1592596.5,TX,675.1830969827794,2276.8984744958416
121312,Finance and Insurance,10.0,836215.5,TX,1530.2804499256674,2106.4133364366453
126852,Healthcare,240.0,,TX,3233.790499134801,2373.3129566033904
125253,Construction,21.0,639670.72,TX,1447.4754871464752,5514.806374247066
121256,Healthcare,,1363329.0,NY,5879.573157286176,1636.5294004548725
128570,Finance and Insurance,27.0,2216085.0,TX,0.0,2608.3826609023845
129042,Healthcare,146.0,9130229.0,NY,5468.2668196728255,8078.559843814375
126544,Finance and Insurance,10.0,619505.0,NY,2083.978297526165,2258.8623961554945
121667,Construction,54.0,2063501.84,TX,4520.067083379926,5053.663745627689
122942,Food Services,27.0,1424374.0,NY,1564.8924604401368,1878.7333867767466
121680,Food Services,10.0,311188.0,NY,2469.9380794988683,1976.997455703094
122807,Finance and Insurance,12.0,790082.0,NY,673.6503225675127,7794.847653156111
124096,Food Services,34.0,,TX,1109.6592253129438,3810.334867381327
123815,Food Services,10.0,444538.0,NY,457.70184837697286,0.0
128352,Construction,788.0,40981306.0,NY,25147.68227207002,1379.3198823852124
127237,Finance and Insurance,37.0,1781372.0,NY,2679.6190494592056,1989.4262022611026
127803,Agriculture,52.0,2879098.0,TX,1173.424425223498,1842.358987462711
122542,Food Services,,311983.8,TX,1138.2046751683956,1657.0331122053797
120049,Healthcare,332.0,18952710.0,TX,2529.172431242824,1948.1295584181305
125368,Healthcare,,1955238.0,TX,2320.435748169249,1670.3630619226446
127889,Education,56.0,1132384.0,NY,3920.2160010311213,2301.588189743171
121942,Construction,54.0,,NY,3274.783294184641,2821.737555488461
123596,Food Services,67.0,2628324.0,TX,1269.4230085468616,2849.1655462324798
126293,Healthcare,71.0,3959642.0,TX,2897.4994606513105,1848.6378442265946
127647,Food Services,10.0,365921.0,NY,1856.3047367877093,2566.232815350979
120475,Construction,176.0,,TX,7877.864932822547,9667.78623955409
120332,Construction,376.0,,NY,18013.05283649265,6521.646628126293
129862,Construction,857.0,40809430.0,NY,25685.379441141034,7857.806388908579
128628,Finance and Insurance,14.0,1300690.5,TX,4618.7009883712235,5071.201816160634
122588,Construction,305.0,,TX,18054.204546125267,15729.873478586693
128177,Construction,26.0,972143.0,NY,3769.9201098438048,2993.608389089163
120196,Agriculture,33.0,1379253.0,TX,1724.1448787926556,6012.490134555274
125588,Construction,91.0,3089130.96,TX,3949.647350343169,1932.85382702659
129997,Education,31.0,1115725.0,TX,1538.5077683987963,6350.126247863957
125015,Finance and Insurance,10.0,422942.0,NY,6918.429220244144,1557.883829016069
122115,Education,20.0,1472008.0,TX,0.0,12624.684653617693
125931,Food Services,19.0,442509.6,TX,1184.0841208068962,3228.750189518617
127355,Food Services,29.0,1781460.0,NY,1780.8054450866032,1886.6207278007005
123271,Healthcare,151.0,8712604.0,TX,14967.962151908794,7021.975021832142
121421,Food Services,10.0,270186.0,TX,1432.7452606890122,1620.6847644251422
128909,Construction,,11744612.12,TX,13217.442375011755,1389.5445421002007
121996,Healthcare,74.0,4537511.0,TX,9863.913886084069,9960.801175178462
123929,Food Services,,620243.0,NY,2070.9569350836623,1917.5905940892444
122586,Food Services,22.0,1337907.0,NY,3812.735159619875,0.0
126304,Food Services,10.0,653515.0,NY,779.6628968493408,7580.01012699967
120320,Finance and Insurance,66.0,3211410.0,NY,1847.0010594275109,1248.878393912914
124560,Food Services,25.0,766971.0,TX,649.5473049618369,1812.830323681926
120908,Construction,,6200987.0,NY,17989.64065560344,0.0
124575,Food Services,22.0,572263.2,TX,1419.177299945243,2382.1071493462864
120214,Education,254.0,9074471.0,NY,3028.1714225318733,9659.980951675923
125721,Food Services,135.0,9400626.0,NY,2790.718781454444,13092.292789497558
127863,Food Services,21.0,771572.0,NY,2159.118752614977,5118.741345194614
128314,Healthcare,212.0,11219771.0,TX,4664.988695239085,4856.91286656186
123433,Finance and Insurance,17.0,1142953.5,TX,1808.093652157124,2270.473744018872
125094,Education,70.0,3501703.0,TX,5314.654194474829,0.0
121145,Healthcare,54.0,2081934.0,TX,45276.20475220802,1915.0296485149706
125617,Agriculture,,1596509.0,NY,921.7390956924362,4481.626265557245
121709,Food Services,18.0,525999.6,TX,2013.009342808577,3114.799195951812
129587,Construction,145.0,10238088.0,NY,11575.42523889038,9729.753213450504
128764,Construction,169.0,10891063.0,NY,12261.198478766171,0.0
127881,Education,64.0,1939441.0,NY,4292.8427432189455,1733.0825141813334
127872,Healthcare,18.0,866146.0,NY,15449.367610227617,1908.8289502870127
129600,Education,10.0,561428.0,NY,890.4431068284861,2161.7702327957722
123751,Food Services,10.0,246071.4,TX,528.2597146065148,1706.2313383929902
124035,Construction,,2788083.56,TX,6029.4183878508275,2882.6759310909674
127429,Food Services,10.0,542474.0,NY,1041.5279188038837,1058.8294709040933
127658,Healthcare,94.0,3398771.0,NY,3790.7708534579133,9536.828547217494
124283,Finance and Insurance,209.0,11053416.0,NY,5398.402292399609,13361.867758577107
123381,Construction,68.0,3247809.0,NY,10975.589220436796,1682.8027676180843
124604,Construction,159.0,10282169.0,NY,10106.241293382622,9022.908252169143
125661,Construction,31.0,1389002.0,NY,4166.419291102986,1919.5577482451788
128413,Healthcare,138.0,8677796.0,TX,8476.029485507366,8877.505733102604
120662,Food Services,124.0,3840856.8,TX,1494.2462377241807,6460.077078730713
125350,Education,62.0,,NY,3141.854237426017,3736.638688912187
